GeneFull,TranscriptID,Modified_Site_Count
gi|112734865|ref|NM_018085.4| ,NM_018085.4,2091
gi|334688846|ref|NM_152624.5| ,NM_152624.5,2078
gi|148228165|ref|NM_001904.3| ,NM_001904.3,2076
gi|226246632|ref|NR_027451.1| ,NR_027451.1,2045
gi|317008612|ref|NM_024408.3| ,NM_024408.3,2029
gi|312922355|ref|NM_001199260.1| ,NM_001199260.1,2008
gi|300360491|ref|NR_034022.1| ,NR_034022.1,2007
gi|209976984|ref|NM_032410.3| ,NM_032410.3,2000
gi|164664517|ref|NM_004397.4| ,NM_004397.4,2000
gi|53759152|ref|NM_003400.3| ,NM_003400.3,1997
gi|207029375|ref|NM_005610.2| ,NM_005610.2,1985
gi|182507166|ref|NM_022455.4| ,NM_022455.4,1970
gi|153792589|ref|NM_001017963.2| ,NM_001017963.2,1962
gi|302699236|ref|NM_182917.4| ,NM_182917.4,1952
gi|288915537|ref|NM_005032.5| ,NM_005032.5,1951
gi|83367078|ref|NM_001402.5| ,NM_001402.5,1931
gi|510937013|ref|NM_002392.5| ,NM_002392.5,1919
gi|379317176|ref|NM_001256910.1| ,NM_001256910.1,1918
gi|118582282|ref|NM_012316.4| ,NM_012316.4,1917
gi|153792304|ref|NM_001099678.1| ,NM_001099678.1,1908
gi|98961157|ref|NM_194247.2| ,NM_194247.2,1908
gi|289063428|ref|NM_001357.4| ,NM_001357.4,1904
gi|115298681|ref|NM_015172.3| ,NM_015172.3,1888
gi|102468716|ref|NM_005121.2| ,NM_005121.2,1886
gi|208879409|ref|NM_004096.4| ,NM_004096.4,1877
gi|41872630|ref|NM_004104.4| ,NM_004104.4,1876
gi|54112116|ref|NM_012433.2| ,NM_012433.2,1869
gi|224586939|ref|NM_003604.2| ,NM_003604.2,1866
gi|325651935|ref|NM_022098.3| ,NM_022098.3,1861
gi|301601657|ref|NM_001193495.1| ,NM_001193495.1,1858
gi|296179393|ref|NM_175866.4| ,NM_175866.4,1852
gi|30581134|ref|NM_006306.2| ,NM_006306.2,1851
gi|112789525|ref|NM_001042749.1| ,NM_001042749.1,1846
gi|508083052|ref|NM_001278387.1| ,NM_001278387.1,1841
gi|282165748|ref|NM_024654.4| ,NM_024654.4,1838
gi|260064008|ref|NM_015306.2| ,NM_015306.2,1819
gi|166091441|ref|NR_003255.2| ,NR_003255.2,1817
gi|342349303|ref|NM_006597.4| ,NM_006597.4,1810
gi|187829863|ref|NM_018448.3| ,NM_018448.3,1805
gi|315221166|ref|NM_025146.2| ,NM_025146.2,1802
gi|119220555|ref|NM_006452.3| ,NM_006452.3,1798
gi|449784877|ref|NM_002265.5| ,NM_002265.5,1795
gi|208609996|ref|NM_014765.2| ,NM_014765.2,1794
gi|187607278|ref|NM_133259.3| ,NM_133259.3,1793
gi|425854832|ref|NM_001271818.1| ,NM_001271818.1,1792
gi|237649097|ref|NM_020120.3| ,NM_020120.3,1792
gi|491227875|ref|NM_014363.5| ,NM_014363.5,1792
gi|345842405|ref|NM_014680.3| ,NM_014680.3,1782
gi|291045187|ref|NM_001142386.2| ,NM_001142386.2,1782
gi|303227922|ref|NM_199189.2| ,NM_199189.2,1781
gi|302129655|ref|NM_007107.3| ,NM_007107.3,1779
gi|219842228|ref|NM_004537.4| ,NM_004537.4,1778
gi|169790922|ref|NM_000254.2| ,NM_000254.2,1778
gi|156523967|ref|NM_001618.3| ,NM_001618.3,1775
gi|325053645|ref|NM_020746.4| ,NM_020746.4,1774
gi|228008399|ref|NM_001159677.1| ,NM_001159677.1,1770
gi|190610011|ref|NM_006965.2| ,NM_006965.2,1766
gi|117938252|ref|NM_014739.2| ,NM_014739.2,1761
gi|260436829|ref|NM_001017980.3| ,NM_001017980.3,1757
gi|38679976|ref|NM_198839.1| ,NM_198839.1,1754
gi|139394590|ref|NM_014877.3| ,NM_014877.3,1747
gi|253970443|ref|NM_001163278.1| ,NM_001163278.1,1740
gi|38569420|ref|NM_001096.2| ,NM_001096.2,1736
gi|189458816|ref|NM_003234.2| ,NM_003234.2,1735
gi|324711007|ref|NM_001167.3| ,NM_001167.3,1722
gi|115647980|ref|NM_001076786.1| ,NM_001076786.1,1719
gi|387598069|ref|NM_001923.4| ,NM_001923.4,1717
gi|161377445|ref|NM_170665.3| ,NM_170665.3,1711
gi|219555643|ref|NM_005207.3| ,NM_005207.3,1701
gi|325651967|ref|NM_005914.3| ,NM_005914.3,1700
gi|75813622|ref|NM_005245.3| ,NM_005245.3,1669
gi|34222261|ref|NM_178014.2| ,NM_178014.2,1664
gi|144094257|ref|NM_033505.2| ,NM_033505.2,1663
gi|209862798|ref|NM_007314.3| ,NM_007314.3,1662
gi|215983057|ref|NM_032121.5| ,NM_032121.5,1660
gi|507417934|ref|NM_015315.4| ,NM_015315.4,1658
gi|509155835|ref|NM_004298.3| ,NM_004298.3,1657
gi|333440435|ref|NM_207318.3| ,NM_207318.3,1650
gi|186659504|ref|NM_002140.3| ,NM_002140.3,1648
gi|431822400|ref|NM_001271969.1| ,NM_001271969.1,1644
gi|315139024|ref|NM_020791.2| ,NM_020791.2,1643
gi|316659408|ref|NM_001199954.1| ,NM_001199954.1,1639
gi|61676201|ref|NM_005898.4| ,NM_005898.4,1634
gi|262073006|ref|NM_001166496.1| ,NM_001166496.1,1633
gi|47778928|ref|NM_001001419.1| ,NM_001001419.1,1633
gi|387598038|ref|NM_001969.4| ,NM_001969.4,1629
gi|83656782|ref|NM_001415.3| ,NM_001415.3,1627
gi|221139766|ref|NM_021928.3| ,NM_021928.3,1625
gi|195963391|ref|NM_021141.3| ,NM_021141.3,1622
gi|296011009|ref|NM_017782.4| ,NM_017782.4,1611
gi|397787552|ref|NM_005885.3| ,NM_005885.3,1609
gi|362999014|ref|NM_017813.4| ,NM_017813.4,1608
gi|319803064|ref|NM_015902.5| ,NM_015902.5,1593
gi|223718133|ref|NM_001145306.1| ,NM_001145306.1,1587
gi|223555916|ref|NM_178812.3| ,NM_178812.3,1586
gi|270132520|ref|NM_001042492.2| ,NM_001042492.2,1583
gi|194394140|ref|NM_014825.2| ,NM_014825.2,1583
gi|150010638|ref|NM_015276.1| ,NM_015276.1,1582
gi|194733762|ref|NM_203505.2| ,NM_203505.2,1580
gi|208973236|ref|NM_145690.2| ,NM_145690.2,1577
gi|122937397|ref|NM_001080463.1| ,NM_001080463.1,1575
gi|189181754|ref|NM_001943.3| ,NM_001943.3,1557
gi|284925115|ref|NM_001039547.2| ,NM_001039547.2,1548
gi|289547567|ref|NM_001172640.1| ,NM_001172640.1,1546
gi|296278211|ref|NM_001178138.1| ,NM_001178138.1,1546
gi|371502110|ref|NM_001316.3| ,NM_001316.3,1541
gi|241982728|ref|NM_001162501.1| ,NM_001162501.1,1540
gi|319655736|ref|NM_000551.3| ,NM_000551.3,1539
gi|209364510|ref|NM_001007561.2| ,NM_001007561.2,1539
gi|156151374|ref|NM_031243.2| ,NM_031243.2,1537
gi|302191685|ref|NM_018304.3| ,NM_018304.3,1537
gi|328887931|ref|NR_038108.1| ,NR_038108.1,1535
gi|296080692|ref|NM_001184722.1| ,NM_001184722.1,1535
gi|122937226|ref|NM_001080415.1| ,NM_001080415.1,1532
gi|54607052|ref|NM_006836.1| ,NM_006836.1,1531
gi|168693430|ref|NM_177438.2| ,NM_177438.2,1530
gi|122939170|ref|NM_005497.3| ,NM_005497.3,1526
gi|160420316|ref|NM_001110556.1| ,NM_001110556.1,1523
gi|221139768|ref|NM_004396.3| ,NM_004396.3,1520
gi|236459850|ref|NM_173569.3| ,NM_173569.3,1519
gi|109948303|ref|NM_018225.2| ,NM_018225.2,1515
gi|333470716|ref|NM_001207067.1| ,NM_001207067.1,1513
gi|300193028|ref|NM_001067.3| ,NM_001067.3,1509
gi|302318943|ref|NM_182515.3| ,NM_182515.3,1508
gi|87298841|ref|NM_018638.4| ,NM_018638.4,1506
gi|345199281|ref|NM_005336.4| ,NM_005336.4,1501
gi|149192854|ref|NM_013318.3| ,NM_013318.3,1498
gi|163644282|ref|NM_014614.2| ,NM_014614.2,1495
gi|170763497|ref|NM_003011.3| ,NM_003011.3,1492
gi|345498498|ref|NM_001199282.2| ,NM_001199282.2,1491
gi|347360921|ref|NM_001244580.1| ,NM_001244580.1,1488
gi|284005413|ref|NM_003417.4| ,NM_003417.4,1487
gi|295054219|ref|NM_001177665.1| ,NM_001177665.1,1487
gi|271398349|ref|NM_018087.4| ,NM_018087.4,1485
gi|66932908|ref|NM_001020658.1| ,NM_001020658.1,1485
gi|381140058|ref|NM_001257273.1| ,NM_001257273.1,1484
gi|117189974|ref|NM_031314.2| ,NM_031314.2,1483
gi|38683806|ref|NM_032217.3| ,NM_032217.3,1481
gi|56549635|ref|NM_001008491.1| ,NM_001008491.1,1474
gi|71902539|ref|NM_000051.3| ,NM_000051.3,1473
gi|499589474|ref|NM_198335.3| ,NM_198335.3,1473
gi|237681108|ref|NM_001160233.1| ,NM_001160233.1,1470
gi|210147509|ref|NM_024646.2| ,NM_024646.2,1467
gi|62241041|ref|NM_004446.2| ,NM_004446.2,1466
gi|41399283|ref|NM_002156.4| ,NM_002156.4,1464
gi|148746207|ref|NM_001417.4| ,NM_001417.4,1462
gi|93277111|ref|NM_144578.3| ,NM_144578.3,1454
gi|205361119|ref|NM_001005386.2| ,NM_001005386.2,1454
gi|51599155|ref|NM_001273.2| ,NM_001273.2,1453
gi|339275982|ref|NM_002268.4| ,NM_002268.4,1450
gi|345090975|ref|NM_001008938.3| ,NM_001008938.3,1450
gi|312032410|ref|NM_001690.3| ,NM_001690.3,1450
gi|133925807|ref|NM_004136.2| ,NM_004136.2,1448
gi|163659922|ref|NM_003334.3| ,NM_003334.3,1447
gi|187960099|ref|NM_014671.2| ,NM_014671.2,1446
gi|289577081|ref|NM_015044.4| ,NM_015044.4,1444
gi|300863084|ref|NM_018947.5| ,NM_018947.5,1441
gi|223890260|ref|NM_007192.3| ,NM_007192.3,1440
gi|195927054|ref|NM_001130528.2| ,NM_001130528.2,1438
gi|338797748|ref|NM_006743.4| ,NM_006743.4,1438
gi|375478214|ref|NM_006430.3| ,NM_006430.3,1435
gi|91718901|ref|NM_170606.2| ,NM_170606.2,1433
gi|269846811|ref|NM_001167856.1| ,NM_001167856.1,1430
gi|162329582|ref|NM_007007.2| ,NM_007007.2,1425
gi|89142738|ref|NM_012405.3| ,NM_012405.3,1422
gi|71143111|ref|NM_018124.3| ,NM_018124.3,1422
gi|49640008|ref|NM_003316.3| ,NM_003316.3,1420
gi|197304722|ref|NM_032826.4| ,NM_032826.4,1418
gi|169881236|ref|NM_007126.3| ,NM_007126.3,1416
gi|190014622|ref|NM_014953.3| ,NM_014953.3,1407
gi|38605732|ref|NM_198887.1| ,NM_198887.1,1407
gi|108773809|ref|NM_020117.9| ,NM_020117.9,1403
gi|148762968|ref|NM_003482.3| ,NM_003482.3,1402
gi|190194385|ref|NM_020123.3| ,NM_020123.3,1402
gi|308199412|ref|NM_001197104.1| ,NM_001197104.1,1400
gi|187608725|ref|NM_001127192.1| ,NM_001127192.1,1399
gi|117553581|ref|NM_015056.2| ,NM_015056.2,1398
gi|117168247|ref|NM_016395.2| ,NM_016395.2,1397
gi|90903230|ref|NM_002111.6| ,NM_002111.6,1397
gi|68303806|ref|NM_000791.3| ,NM_000791.3,1396
gi|148528989|ref|NM_198484.3| ,NM_198484.3,1395
gi|222080084|ref|NM_133496.4| ,NM_133496.4,1394
gi|296010898|ref|NM_005504.6| ,NM_005504.6,1392
gi|118918424|ref|NM_002128.4| ,NM_002128.4,1391
gi|71773105|ref|NM_001030006.1| ,NM_001030006.1,1389
gi|197245388|ref|NM_003909.3| ,NM_003909.3,1386
gi|91754182|ref|NM_182612.2| ,NM_182612.2,1386
gi|296939599|ref|NM_001184985.1| ,NM_001184985.1,1385
gi|188219558|ref|NM_032833.3| ,NM_032833.3,1383
gi|112382249|ref|NM_003128.2| ,NM_003128.2,1383
gi|54859721|ref|NM_015231.1| ,NM_015231.1,1382
gi|288856272|ref|NM_173690.4| ,NM_173690.4,1382
gi|142385371|ref|NM_018170.3| ,NM_018170.3,1382
gi|264681522|ref|NM_005578.3| ,NM_005578.3,1381
gi|188536046|ref|NM_003074.3| ,NM_003074.3,1381
gi|270265814|ref|NM_004960.3| ,NM_004960.3,1378
gi|46249374|ref|NM_002709.2| ,NM_002709.2,1377
gi|98986463|ref|NM_006827.5| ,NM_006827.5,1377
gi|310832411|ref|NM_015313.2| ,NM_015313.2,1377
gi|56549669|ref|NM_006628.4| ,NM_006628.4,1374
gi|151301034|ref|NM_020151.3| ,NM_020151.3,1374
gi|74275345|ref|NM_001634.4| ,NM_001634.4,1373
gi|203097875|ref|NM_022780.3| ,NM_022780.3,1373
gi|443609476|ref|NM_015354.2| ,NM_015354.2,1371
gi|118402583|ref|NM_012164.3| ,NM_012164.3,1370
gi|151301227|ref|NM_017892.3| ,NM_017892.3,1370
gi|196259818|ref|NM_022754.5| ,NM_022754.5,1368
gi|83367067|ref|NM_003750.2| ,NM_003750.2,1366
gi|50345985|ref|NM_001686.3| ,NM_001686.3,1364
gi|148746180|ref|NM_001098576.1| ,NM_001098576.1,1362
gi|197333810|ref|NM_014777.2| ,NM_014777.2,1361
gi|212549552|ref|NM_017620.2| ,NM_017620.2,1360
gi|66346694|ref|NM_001999.3| ,NM_001999.3,1360
gi|110347426|ref|NM_014709.3| ,NM_014709.3,1357
gi|33356176|ref|NM_002834.3| ,NM_002834.3,1353
gi|94557304|ref|NM_014763.3| ,NM_014763.3,1352
gi|148536860|ref|NM_006933.4| ,NM_006933.4,1352
gi|209413741|ref|NM_006275.5| ,NM_006275.5,1352
gi|212276111|ref|NM_014060.2| ,NM_014060.2,1349
gi|381342475|ref|NM_001257293.1| ,NM_001257293.1,1349
gi|400153762|ref|NM_017645.4| ,NM_017645.4,1347
gi|357430780|ref|NM_003101.5| ,NM_003101.5,1345
gi|47458828|ref|NM_004341.3| ,NM_004341.3,1342
gi|116734707|ref|NM_001106.3| ,NM_001106.3,1341
gi|77404356|ref|NM_001412.3| ,NM_001412.3,1334
gi|51093847|ref|NM_001469.3| ,NM_001469.3,1333
gi|296080776|ref|NM_017672.4| ,NM_017672.4,1327
gi|170650686|ref|NM_006502.2| ,NM_006502.2,1327
gi|221136818|ref|NM_018362.3| ,NM_018362.3,1322
gi|296080701|ref|NM_004134.6| ,NM_004134.6,1322
gi|224994261|ref|NR_027350.1| ,NR_027350.1,1320
gi|194018521|ref|NM_001130007.1| ,NM_001130007.1,1319
gi|311893284|ref|NM_006047.5| ,NM_006047.5,1317
gi|338968846|ref|NM_201274.3| ,NM_201274.3,1317
gi|71164895|ref|NM_139281.2| ,NM_139281.2,1314
gi|296531373|ref|NM_032875.2| ,NM_032875.2,1313
gi|503774351|ref|NM_001278209.1| ,NM_001278209.1,1311
gi|38605734|ref|NM_018243.2| ,NM_018243.2,1310
gi|209869992|ref|NM_001136005.1| ,NM_001136005.1,1310
gi|98985830|ref|NM_014423.3| ,NM_014423.3,1309
gi|325651900|ref|NM_032828.3| ,NM_032828.3,1306
gi|209969818|ref|NM_173566.2| ,NM_173566.2,1304
gi|296040488|ref|NM_016320.4| ,NM_016320.4,1303
gi|307611973|ref|NM_174911.4| ,NM_174911.4,1302
gi|311771666|ref|NM_001198783.1| ,NM_001198783.1,1299
gi|183603937|ref|NM_000291.3| ,NM_000291.3,1295
gi|299523022|ref|NR_033805.1| ,NR_033805.1,1293
gi|224028243|ref|NM_001145408.1| ,NM_001145408.1,1292
gi|294862265|ref|NM_005401.4| ,NM_005401.4,1292
gi|51093831|ref|NM_015635.2| ,NM_015635.2,1290
gi|44662824|ref|NM_014730.2| ,NM_014730.2,1288
gi|499591025|ref|NM_012090.5| ,NM_012090.5,1287
gi|260064012|ref|NM_001165931.1| ,NM_001165931.1,1286
gi|298493307|ref|NM_001171508.2| ,NM_001171508.2,1286
gi|62198236|ref|NM_006231.2| ,NM_006231.2,1282
gi|306966130|ref|NM_001130438.2| ,NM_001130438.2,1281
gi|56549647|ref|NM_057175.3| ,NM_057175.3,1281
gi|304361758|ref|NM_080391.3| ,NM_080391.3,1281
gi|11968022|ref|NM_022473.1| ,NM_022473.1,1280
gi|50345994|ref|NM_003972.2| ,NM_003972.2,1279
gi|328447199|ref|NM_002296.3| ,NM_002296.3,1279
gi|189458834|ref|NM_003659.3| ,NM_003659.3,1276
gi|198386337|ref|NM_014873.2| ,NM_014873.2,1276
gi|306482654|ref|NM_000937.4| ,NM_000937.4,1276
gi|82546823|ref|NM_001037165.1| ,NM_001037165.1,1275
gi|148612878|ref|NM_024947.3| ,NM_024947.3,1275
gi|261399876|ref|NM_001166285.1| ,NM_001166285.1,1275
gi|324021721|ref|NM_152437.2| ,NM_152437.2,1267
gi|219555675|ref|NM_018976.4| ,NM_018976.4,1265
gi|148536854|ref|NM_001098398.1| ,NM_001098398.1,1265
gi|299522982|ref|NM_022111.3| ,NM_022111.3,1264
gi|296080759|ref|NM_002572.3| ,NM_002572.3,1264
gi|387598067|ref|NM_001261445.1| ,NM_001261445.1,1263
gi|296434314|ref|NM_001032283.2| ,NM_001032283.2,1260
gi|10863902|ref|NM_004238.1| ,NM_004238.1,1260
gi|39725959|ref|NM_175852.3| ,NM_175852.3,1258
gi|71040112|ref|NR_002323.1| ,NR_002323.1,1257
gi|148886660|ref|NM_022459.4| ,NM_022459.4,1257
gi|223029409|ref|NM_006289.3| ,NM_006289.3,1256
gi|26051234|ref|NM_018230.2| ,NM_018230.2,1255
gi|75709178|ref|NM_002745.4| ,NM_002745.4,1254
gi|215272315|ref|NM_005570.3| ,NM_005570.3,1253
gi|58331232|ref|NM_012073.3| ,NM_012073.3,1251
gi|120587022|ref|NM_014503.2| ,NM_014503.2,1251
gi|62865859|ref|NM_032458.2| ,NM_032458.2,1247
gi|254039597|ref|NM_018390.3| ,NM_018390.3,1247
gi|328927063|ref|NM_001085487.2| ,NM_001085487.2,1246
gi|372626411|ref|NM_004730.3| ,NM_004730.3,1246
gi|304434816|ref|NM_005998.4| ,NM_005998.4,1241
gi|168480144|ref|NM_001101.3| ,NM_001101.3,1241
gi|306482644|ref|NM_003016.4| ,NM_003016.4,1240
gi|334688826|ref|NM_002524.4| ,NM_002524.4,1240
gi|145580624|ref|NM_001013620.3| ,NM_001013620.3,1239
gi|392494078|ref|NM_001918.3| ,NM_001918.3,1238
gi|215983056|ref|NM_032228.5| ,NM_032228.5,1237
gi|332164774|ref|NM_001206796.1| ,NM_001206796.1,1235
gi|319996654|ref|NM_001201483.1| ,NM_001201483.1,1234
gi|209969683|ref|NM_001759.3| ,NM_001759.3,1233
gi|145309325|ref|NM_002293.3| ,NM_002293.3,1233
gi|126723563|ref|NM_014982.2| ,NM_014982.2,1232
gi|33469915|ref|NM_003906.3| ,NM_003906.3,1232
gi|335057561|ref|NM_033656.3| ,NM_033656.3,1232
gi|194239695|ref|NM_003017.4| ,NM_003017.4,1231
gi|56676313|ref|NM_002568.3| ,NM_002568.3,1231
gi|110618243|ref|NM_001042603.1| ,NM_001042603.1,1230
gi|317108146|ref|NM_007235.4| ,NM_007235.4,1229
gi|147904339|ref|NM_025222.3| ,NM_025222.3,1228
gi|256017162|ref|NM_001164273.1| ,NM_001164273.1,1226
gi|314122178|ref|NM_001199672.1| ,NM_001199672.1,1225
gi|342672020|ref|NM_138714.3| ,NM_138714.3,1225
gi|194248058|ref|NM_018136.4| ,NM_018136.4,1225
gi|166091478|ref|NM_024665.4| ,NM_024665.4,1224
gi|290560667|ref|NM_001033503.2| ,NM_001033503.2,1223
gi|260099722|ref|NM_001165414.1| ,NM_001165414.1,1222
gi|148277036|ref|NM_014911.3| ,NM_014911.3,1220
gi|42766427|ref|NM_019008.4| ,NM_019008.4,1219
gi|296011005|ref|NM_007055.3| ,NM_007055.3,1217
gi|98986456|ref|NM_005334.2| ,NM_005334.2,1216
gi|58331169|ref|NM_001762.3| ,NM_001762.3,1216
gi|71773009|ref|NM_001030007.1| ,NM_001030007.1,1215
gi|267844827|ref|NM_001167741.1| ,NM_001167741.1,1214
gi|157688562|ref|NM_000990.4| ,NM_000990.4,1211
gi|109452596|ref|NM_153810.4| ,NM_153810.4,1211
gi|323362981|ref|NM_004788.3| ,NM_004788.3,1210
gi|118402585|ref|NM_006708.2| ,NM_006708.2,1210
gi|382546189|ref|NM_001257335.1| ,NM_001257335.1,1209
gi|70980548|ref|NM_014976.1| ,NM_014976.1,1209
gi|374349220|ref|NR_046216.1| ,NR_046216.1,1208
gi|223941845|ref|NM_001145365.1| ,NM_001145365.1,1208
gi|153792603|ref|NM_001099666.1| ,NM_001099666.1,1208
gi|365192531|ref|NM_001256012.1| ,NM_001256012.1,1206
gi|312836803|ref|NM_013411.4| ,NM_013411.4,1206
gi|164419756|ref|NM_005104.3| ,NM_005104.3,1206
gi|157671928|ref|NM_002645.2| ,NM_002645.2,1205
gi|260436835|ref|NM_203342.2| ,NM_203342.2,1202
gi|46852146|ref|NM_018060.3| ,NM_018060.3,1202
gi|14971416|ref|NM_005762.2| ,NM_005762.2,1201
gi|222136638|ref|NM_005956.3| ,NM_005956.3,1201
gi|260593717|ref|NM_002065.5| ,NM_002065.5,1199
gi|157426894|ref|NM_000179.2| ,NM_000179.2,1198
gi|427918085|ref|NM_001620.2| ,NM_001620.2,1198
gi|133925797|ref|NM_001031695.2| ,NM_001031695.2,1198
gi|60218911|ref|NM_013336.3| ,NM_013336.3,1198
gi|4505940|ref|NM_000938.1| ,NM_000938.1,1197
gi|73695940|ref|NM_030918.5| ,NM_030918.5,1197
gi|146219842|ref|NM_006662.2| ,NM_006662.2,1196
gi|219689102|ref|NM_001031701.2| ,NM_001031701.2,1195
gi|163838630|ref|NM_001112736.1| ,NM_001112736.1,1195
gi|317108150|ref|NM_017437.2| ,NM_017437.2,1193
gi|514052668|ref|NM_006826.3| ,NM_006826.3,1193
gi|163660383|ref|NM_005339.4| ,NM_005339.4,1189
gi|338827692|ref|NM_006609.4| ,NM_006609.4,1189
gi|300795014|ref|NM_003137.4| ,NM_003137.4,1189
gi|336595168|ref|NM_002337.3| ,NM_002337.3,1189
gi|302148469|ref|NM_001193552.1| ,NM_001193552.1,1189
gi|156151378|ref|NM_001102396.1| ,NM_001102396.1,1188
gi|224586816|ref|NM_001145667.1| ,NM_001145667.1,1187
gi|336595075|ref|NM_005911.5| ,NM_005911.5,1187
gi|38202203|ref|NM_016107.3| ,NM_016107.3,1186
gi|118498336|ref|NM_015382.2| ,NM_015382.2,1185
gi|38327550|ref|NM_005754.2| ,NM_005754.2,1184
gi|332688253|ref|NM_002710.3| ,NM_002710.3,1182
gi|347659027|ref|NM_001244710.1| ,NM_001244710.1,1179
gi|148839291|ref|NM_024524.3| ,NM_024524.3,1179
gi|148596948|ref|NM_004741.3| ,NM_004741.3,1179
gi|321267572|ref|NM_001202519.1| ,NM_001202519.1,1178
gi|133908608|ref|NM_021629.3| ,NM_021629.3,1176
gi|291042698|ref|NM_206855.2| ,NM_206855.2,1176
gi|157266329|ref|NM_001033.3| ,NM_001033.3,1176
gi|308818137|ref|NM_001190879.2| ,NM_001190879.2,1175
gi|38372900|ref|NM_138473.2| ,NM_138473.2,1175
gi|76880473|ref|NM_015261.2| ,NM_015261.2,1175
gi|305855105|ref|NM_005347.4| ,NM_005347.4,1174
gi|197209833|ref|NM_005066.2| ,NM_005066.2,1172
gi|160333173|ref|NM_014155.4| ,NM_014155.4,1171
gi|110349785|ref|NM_015120.4| ,NM_015120.4,1170
gi|293336690|ref|NM_001527.3| ,NM_001527.3,1169
gi|112734856|ref|NM_001009993.2| ,NM_001009993.2,1169
gi|386869284|ref|NM_005915.5| ,NM_005915.5,1167
gi|218505709|ref|NM_014267.5| ,NM_014267.5,1165
gi|315139001|ref|NM_002794.4| ,NM_002794.4,1165
gi|409971406|ref|NM_004526.3| ,NM_004526.3,1162
gi|148529027|ref|NM_181489.5| ,NM_181489.5,1162
gi|214010210|ref|NM_001655.4| ,NM_001655.4,1161
gi|215490020|ref|NM_001142418.1| ,NM_001142418.1,1160
gi|282165703|ref|NM_001170629.1| ,NM_001170629.1,1160
gi|301897117|ref|NM_032043.2| ,NM_032043.2,1160
gi|206725550|ref|NM_004958.3| ,NM_004958.3,1159
gi|307219191|ref|NM_001143821.2| ,NM_001143821.2,1158
gi|59889569|ref|NM_007006.2| ,NM_007006.2,1158
gi|217035098|ref|NM_001040653.2| ,NM_001040653.2,1157
gi|356460991|ref|NM_018375.4| ,NM_018375.4,1154
