GeneFull,TranscriptID,Length,Modified_Site_Count,Total_Modified_Reads
gi|289577115|ref|NM_001172705.1| ,NM_001172705.1,4028,2239,62960
gi|422398963|ref|NM_013417.3| ,NM_013417.3,4716,2228,35338
gi|338968929|ref|NM_001242891.1| ,NM_001242891.1,4330,2228,46998
gi|224589126|ref|NM_018126.2| ,NM_018126.2,7717,2207,24550
gi|158853997|ref|NM_020772.2| ,NM_020772.2,10897,2205,19321
gi|66933003|ref|NM_001746.3| ,NM_001746.3,4953,2195,38368
gi|87196350|ref|NM_001356.3| ,NM_001356.3,5433,2190,37988
gi|118582268|ref|NM_001078166.1| ,NM_001078166.1,5668,2185,34244
gi|83656775|ref|NM_001961.3| ,NM_001961.3,3163,2171,57164
gi|262231792|ref|NM_181672.2| ,NM_181672.2,5497,2138,28491
gi|169404008|ref|NM_003144.3| ,NM_003144.3,9874,2131,19316
gi|14790189|ref|NM_015001.2| ,NM_015001.2,12227,2114,18394
gi|118572612|ref|NM_016333.3| ,NM_016333.3,9379,2112,22515
gi|221316685|ref|NM_006391.2| ,NM_006391.2,6209,2095,26688
gi|112734865|ref|NM_018085.4| ,NM_018085.4,11416,2091,17094
gi|334688846|ref|NM_152624.5| ,NM_152624.5,10198,2078,17762
gi|148228165|ref|NM_001904.3| ,NM_001904.3,3720,2076,43650
gi|226246632|ref|NR_027451.1| ,NR_027451.1,5378,2045,23708
gi|317008612|ref|NM_024408.3| ,NM_024408.3,11474,2029,16166
gi|312922355|ref|NM_001199260.1| ,NM_001199260.1,8331,2008,18222
gi|300360491|ref|NR_034022.1| ,NR_034022.1,21017,2007,25502
gi|209976984|ref|NM_032410.3| ,NM_032410.3,14460,2000,16131
gi|164664517|ref|NM_004397.4| ,NM_004397.4,6246,2000,25545
gi|53759152|ref|NM_003400.3| ,NM_003400.3,4830,1997,29300
gi|207029375|ref|NM_005610.2| ,NM_005610.2,7943,1985,35124
gi|182507166|ref|NM_022455.4| ,NM_022455.4,12998,1970,15718
gi|153792589|ref|NM_001017963.2| ,NM_001017963.2,3887,1962,77223
gi|302699236|ref|NM_182917.4| ,NM_182917.4,5686,1952,18713
gi|288915537|ref|NM_005032.5| ,NM_005032.5,3612,1951,47016
gi|83367078|ref|NM_001402.5| ,NM_001402.5,3528,1931,304258
gi|510937013|ref|NM_002392.5| ,NM_002392.5,7495,1919,18575
gi|379317176|ref|NM_001256910.1| ,NM_001256910.1,4839,1918,29650
gi|118582282|ref|NM_012316.4| ,NM_012316.4,7373,1917,15648
gi|153792304|ref|NM_001099678.1| ,NM_001099678.1,7683,1908,16442
gi|98961157|ref|NM_194247.2| ,NM_194247.2,5808,1908,25076
gi|289063428|ref|NM_001357.4| ,NM_001357.4,4543,1904,28052
gi|115298681|ref|NM_015172.3| ,NM_015172.3,10394,1888,19130
gi|102468716|ref|NM_005121.2| ,NM_005121.2,10474,1886,15033
gi|208879409|ref|NM_004096.4| ,NM_004096.4,7531,1877,17902
gi|41872630|ref|NM_004104.4| ,NM_004104.4,8481,1876,15683
gi|54112116|ref|NM_012433.2| ,NM_012433.2,4314,1869,26818
gi|224586939|ref|NM_003604.2| ,NM_003604.2,3881,1866,32842
gi|325651935|ref|NM_022098.3| ,NM_022098.3,8027,1861,16171
gi|301601657|ref|NM_001193495.1| ,NM_001193495.1,6730,1858,20185
gi|296179393|ref|NM_175866.4| ,NM_175866.4,8535,1852,16934
gi|30581134|ref|NM_006306.2| ,NM_006306.2,9725,1851,19383
gi|112789525|ref|NM_001042749.1| ,NM_001042749.1,6277,1846,21223
gi|508083052|ref|NM_001278387.1| ,NM_001278387.1,8623,1841,16849
gi|282165748|ref|NM_024654.4| ,NM_024654.4,6728,1838,19274
gi|260064008|ref|NM_015306.2| ,NM_015306.2,10802,1819,14507
gi|166091441|ref|NR_003255.2| ,NR_003255.2,37027,1817,19529
gi|342349303|ref|NM_006597.4| ,NM_006597.4,2331,1810,101149
gi|187829863|ref|NM_018448.3| ,NM_018448.3,5956,1805,19383
gi|315221166|ref|NM_025146.2| ,NM_025146.2,6148,1802,25628
gi|119220555|ref|NM_006452.3| ,NM_006452.3,3350,1798,40362
gi|449784877|ref|NM_002265.5| ,NM_002265.5,4276,1795,30605
gi|208609996|ref|NM_014765.2| ,NM_014765.2,3407,1794,36129
gi|187607278|ref|NM_133259.3| ,NM_133259.3,6637,1793,19560
gi|425854832|ref|NM_001271818.1| ,NM_001271818.1,10811,1792,18846
gi|237649097|ref|NM_020120.3| ,NM_020120.3,10802,1792,14837
gi|491227875|ref|NM_014363.5| ,NM_014363.5,15668,1792,12896
gi|345842405|ref|NM_014680.3| ,NM_014680.3,7452,1782,14989
gi|291045187|ref|NM_001142386.2| ,NM_001142386.2,12795,1782,14681
gi|303227922|ref|NM_199189.2| ,NM_199189.2,5604,1781,27360
gi|302129655|ref|NM_007107.3| ,NM_007107.3,3734,1779,29212
gi|219842228|ref|NM_004537.4| ,NM_004537.4,5125,1778,31045
gi|169790922|ref|NM_000254.2| ,NM_000254.2,10558,1778,15482
gi|156523967|ref|NM_001618.3| ,NM_001618.3,4001,1775,33318
gi|325053645|ref|NM_020746.4| ,NM_020746.4,11771,1774,14595
gi|228008399|ref|NM_001159677.1| ,NM_001159677.1,7337,1770,26903
gi|190610011|ref|NM_006965.2| ,NM_006965.2,6311,1766,17127
gi|117938252|ref|NM_014739.2| ,NM_014739.2,7277,1761,19636
gi|260436829|ref|NM_001017980.3| ,NM_001017980.3,4760,1757,21324
gi|38679976|ref|NM_198839.1| ,NM_198839.1,10692,1754,13718
gi|139394590|ref|NM_014877.3| ,NM_014877.3,13847,1747,13304
gi|253970443|ref|NM_001163278.1| ,NM_001163278.1,12907,1740,13709
gi|38569420|ref|NM_001096.2| ,NM_001096.2,4450,1736,20244
gi|189458816|ref|NM_003234.2| ,NM_003234.2,5241,1735,20869
gi|324711007|ref|NM_001167.3| ,NM_001167.3,8460,1722,17288
gi|115647980|ref|NM_001076786.1| ,NM_001076786.1,9271,1719,15754
gi|387598069|ref|NM_001923.4| ,NM_001923.4,4372,1717,20139
gi|161377445|ref|NM_170665.3| ,NM_170665.3,8329,1711,15237
gi|219555643|ref|NM_005207.3| ,NM_005207.3,5336,1701,18900
gi|325651967|ref|NM_005914.3| ,NM_005914.3,4928,1700,22451
gi|75813622|ref|NM_005245.3| ,NM_005245.3,14773,1669,13462
gi|34222261|ref|NM_178014.2| ,NM_178014.2,2510,1664,49614
gi|144094257|ref|NM_033505.2| ,NM_033505.2,8143,1663,14045
gi|209862798|ref|NM_007314.3| ,NM_007314.3,12244,1662,12676
gi|215983057|ref|NM_032121.5| ,NM_032121.5,4035,1660,19099
gi|507417934|ref|NM_015315.4| ,NM_015315.4,6607,1658,15812
gi|509155835|ref|NM_004298.3| ,NM_004298.3,4755,1657,21008
gi|333440435|ref|NM_207318.3| ,NM_207318.3,7626,1650,14115
gi|186659504|ref|NM_002140.3| ,NM_002140.3,2995,1648,37634
gi|431822400|ref|NM_001271969.1| ,NM_001271969.1,2716,1644,52658
gi|315139024|ref|NM_020791.2| ,NM_020791.2,12096,1643,12900
gi|316659408|ref|NM_001199954.1| ,NM_001199954.1,2123,1639,92318
gi|61676201|ref|NM_005898.4| ,NM_005898.4,5562,1634,24202
gi|262073006|ref|NM_001166496.1| ,NM_001166496.1,4390,1633,27133
gi|47778928|ref|NM_001001419.1| ,NM_001001419.1,7096,1633,15038
gi|387598038|ref|NM_001969.4| ,NM_001969.4,5963,1629,17939
gi|83656782|ref|NM_001415.3| ,NM_001415.3,3486,1627,23904
gi|221139766|ref|NM_021928.3| ,NM_021928.3,4596,1625,19677
gi|195963391|ref|NM_021141.3| ,NM_021141.3,3448,1622,31448
gi|296011009|ref|NM_017782.4| ,NM_017782.4,8636,1611,14038
gi|397787552|ref|NM_005885.3| ,NM_005885.3,9710,1609,14921
gi|362999014|ref|NM_017813.4| ,NM_017813.4,7242,1608,14258
gi|319803064|ref|NM_015902.5| ,NM_015902.5,10900,1593,13433
gi|223718133|ref|NM_001145306.1| ,NM_001145306.1,11733,1587,12490
gi|223555916|ref|NM_178812.3| ,NM_178812.3,7667,1586,13555
gi|270132520|ref|NM_001042492.2| ,NM_001042492.2,12444,1583,11175
gi|194394140|ref|NM_014825.2| ,NM_014825.2,10808,1583,12901
gi|150010638|ref|NM_015276.1| ,NM_015276.1,5220,1582,20078
gi|194733762|ref|NM_203505.2| ,NM_203505.2,4410,1580,20298
gi|208973236|ref|NM_145690.2| ,NM_145690.2,3077,1577,32569
gi|122937397|ref|NM_001080463.1| ,NM_001080463.1,13699,1575,10757
gi|189181754|ref|NM_001943.3| ,NM_001943.3,5677,1557,16626
gi|284925115|ref|NM_001039547.2| ,NM_001039547.2,9855,1548,14930
gi|289547567|ref|NM_001172640.1| ,NM_001172640.1,7682,1546,12789
gi|296278211|ref|NM_001178138.1| ,NM_001178138.1,9946,1546,13119
gi|371502110|ref|NM_001316.3| ,NM_001316.3,3627,1541,23962
gi|241982728|ref|NM_001162501.1| ,NM_001162501.1,18297,1540,10469
gi|319655736|ref|NM_000551.3| ,NM_000551.3,4560,1539,18840
gi|209364510|ref|NM_001007561.2| ,NM_001007561.2,9703,1539,13450
gi|156151374|ref|NM_031243.2| ,NM_031243.2,3702,1537,40119
gi|302191685|ref|NM_018304.3| ,NM_018304.3,6487,1537,12218
gi|328887931|ref|NR_038108.1| ,NR_038108.1,2538,1535,35507
gi|296080692|ref|NM_001184722.1| ,NM_001184722.1,4275,1535,16029
gi|122937226|ref|NM_001080415.1| ,NM_001080415.1,7464,1532,14415
gi|54607052|ref|NM_006836.1| ,NM_006836.1,8699,1531,11811
gi|168693430|ref|NM_177438.2| ,NM_177438.2,10323,1530,11927
gi|122939170|ref|NM_005497.3| ,NM_005497.3,7644,1526,13600
gi|160420316|ref|NM_001110556.1| ,NM_001110556.1,8557,1523,12532
gi|221139768|ref|NM_004396.3| ,NM_004396.3,3769,1520,33260
gi|236459850|ref|NM_173569.3| ,NM_173569.3,14461,1519,11181
gi|109948303|ref|NM_018225.2| ,NM_018225.2,7091,1515,13499
gi|333470716|ref|NM_001207067.1| ,NM_001207067.1,3400,1513,23821
gi|300193028|ref|NM_001067.3| ,NM_001067.3,5753,1509,16871
gi|302318943|ref|NM_182515.3| ,NM_182515.3,8808,1508,11907
gi|87298841|ref|NM_018638.4| ,NM_018638.4,7101,1506,11580
gi|345199281|ref|NM_005336.4| ,NM_005336.4,6427,1501,15736
gi|149192854|ref|NM_013318.3| ,NM_013318.3,11062,1498,11838
gi|163644282|ref|NM_014614.2| ,NM_014614.2,7101,1495,12588
gi|170763497|ref|NM_003011.3| ,NM_003011.3,2936,1492,32191
gi|345498498|ref|NM_001199282.2| ,NM_001199282.2,9919,1491,12343
gi|347360921|ref|NM_001244580.1| ,NM_001244580.1,12695,1488,10361
gi|284005413|ref|NM_003417.4| ,NM_003417.4,12172,1487,11754
gi|295054219|ref|NM_001177665.1| ,NM_001177665.1,9950,1487,12337
gi|271398349|ref|NM_018087.4| ,NM_018087.4,4840,1485,15416
gi|66932908|ref|NM_001020658.1| ,NM_001020658.1,5416,1485,14769
gi|381140058|ref|NM_001257273.1| ,NM_001257273.1,9558,1484,12041
gi|117189974|ref|NM_031314.2| ,NM_031314.2,3252,1483,45589
gi|38683806|ref|NM_032217.3| ,NM_032217.3,9390,1481,12523
gi|56549635|ref|NM_001008491.1| ,NM_001008491.1,3598,1474,25403
gi|71902539|ref|NM_000051.3| ,NM_000051.3,13147,1473,10131
gi|499589474|ref|NM_198335.3| ,NM_198335.3,4026,1473,17573
gi|237681108|ref|NM_001160233.1| ,NM_001160233.1,3778,1470,21445
gi|210147509|ref|NM_024646.2| ,NM_024646.2,8143,1467,11920
gi|62241041|ref|NM_004446.2| ,NM_004446.2,5021,1466,16611
gi|41399283|ref|NM_002156.4| ,NM_002156.4,2339,1464,47090
gi|148746207|ref|NM_001417.4| ,NM_001417.4,4041,1462,21008
gi|93277111|ref|NM_144578.3| ,NM_144578.3,6469,1454,13685
gi|205361119|ref|NM_001005386.2| ,NM_001005386.2,3944,1454,20459
gi|51599155|ref|NM_001273.2| ,NM_001273.2,6511,1453,13387
gi|339275982|ref|NM_002268.4| ,NM_002268.4,8981,1450,12649
gi|345090975|ref|NM_001008938.3| ,NM_001008938.3,6730,1450,13704
gi|312032410|ref|NM_001690.3| ,NM_001690.3,4607,1450,13020
gi|133925807|ref|NM_004136.2| ,NM_004136.2,6367,1448,12987
gi|163659922|ref|NM_003334.3| ,NM_003334.3,3616,1447,17461
gi|187960099|ref|NM_014671.2| ,NM_014671.2,5195,1446,15104
gi|289577081|ref|NM_015044.4| ,NM_015044.4,5973,1444,15567
gi|300863084|ref|NM_018947.5| ,NM_018947.5,5544,1441,17749
gi|223890260|ref|NM_007192.3| ,NM_007192.3,4684,1440,18163
gi|195927054|ref|NM_001130528.2| ,NM_001130528.2,8273,1438,12906
gi|338797748|ref|NM_006743.4| ,NM_006743.4,4432,1438,28946
gi|375478214|ref|NM_006430.3| ,NM_006430.3,2352,1435,51840
gi|91718901|ref|NM_170606.2| ,NM_170606.2,16872,1433,10617
gi|269846811|ref|NM_001167856.1| ,NM_001167856.1,10981,1430,10286
gi|162329582|ref|NM_007007.2| ,NM_007007.2,6630,1425,12183
gi|89142738|ref|NM_012405.3| ,NM_012405.3,4815,1422,12678
gi|71143111|ref|NM_018124.3| ,NM_018124.3,4952,1422,13140
gi|49640008|ref|NM_003316.3| ,NM_003316.3,9021,1420,12269
gi|197304722|ref|NM_032826.4| ,NM_032826.4,6816,1418,11952
gi|169881236|ref|NM_007126.3| ,NM_007126.3,3859,1416,19570
gi|190014622|ref|NM_014953.3| ,NM_014953.3,7667,1407,13808
gi|38605732|ref|NM_198887.1| ,NM_198887.1,3862,1407,16046
gi|108773809|ref|NM_020117.9| ,NM_020117.9,4868,1403,15765
gi|148762968|ref|NM_003482.3| ,NM_003482.3,19432,1402,9475
gi|190194385|ref|NM_020123.3| ,NM_020123.3,6140,1402,13563
gi|308199412|ref|NM_001197104.1| ,NM_001197104.1,16608,1400,9590
gi|187608725|ref|NM_001127192.1| ,NM_001127192.1,3399,1399,22521
gi|117553581|ref|NM_015056.2| ,NM_015056.2,5087,1398,14065
gi|117168247|ref|NM_016395.2| ,NM_016395.2,3213,1397,22032
gi|90903230|ref|NM_002111.6| ,NM_002111.6,13481,1397,10022
gi|68303806|ref|NM_000791.3| ,NM_000791.3,3932,1396,21181
gi|148528989|ref|NM_198484.3| ,NM_198484.3,8287,1395,13066
gi|222080084|ref|NM_133496.4| ,NM_133496.4,8232,1394,10380
gi|296010898|ref|NM_005504.6| ,NM_005504.6,9682,1392,13828
gi|118918424|ref|NM_002128.4| ,NM_002128.4,3428,1391,25711
gi|71773105|ref|NM_001030006.1| ,NM_001030006.1,5772,1389,12228
gi|197245388|ref|NM_003909.3| ,NM_003909.3,4883,1386,14887
gi|91754182|ref|NM_182612.2| ,NM_182612.2,4378,1386,12931
gi|296939599|ref|NM_001184985.1| ,NM_001184985.1,11232,1385,11733
gi|188219558|ref|NM_032833.3| ,NM_032833.3,5284,1383,12641
gi|112382249|ref|NM_003128.2| ,NM_003128.2,10238,1383,11240
gi|54859721|ref|NM_015231.1| ,NM_015231.1,5383,1382,13297
gi|288856272|ref|NM_173690.4| ,NM_173690.4,12221,1382,13167
gi|142385371|ref|NM_018170.3| ,NM_018170.3,4283,1382,13897
gi|264681522|ref|NM_005578.3| ,NM_005578.3,18278,1381,18452
gi|188536046|ref|NM_003074.3| ,NM_003074.3,5780,1381,13774
gi|270265814|ref|NM_004960.3| ,NM_004960.3,5119,1378,20528
gi|46249374|ref|NM_002709.2| ,NM_002709.2,4991,1377,15674
gi|98986463|ref|NM_006827.5| ,NM_006827.5,4163,1377,15514
gi|310832411|ref|NM_015313.2| ,NM_015313.2,9829,1377,10769
gi|56549669|ref|NM_006628.4| ,NM_006628.4,5162,1374,13203
gi|151301034|ref|NM_020151.3| ,NM_020151.3,3394,1374,22908
gi|74275345|ref|NM_001634.4| ,NM_001634.4,3421,1373,18754
gi|203097875|ref|NM_022780.3| ,NM_022780.3,6201,1373,12340
gi|443609476|ref|NM_015354.2| ,NM_015354.2,5710,1371,11687
gi|118402583|ref|NM_012164.3| ,NM_012164.3,9186,1370,10539
gi|151301227|ref|NM_017892.3| ,NM_017892.3,7528,1370,12229
gi|196259818|ref|NM_022754.5| ,NM_022754.5,2991,1368,17177
gi|83367067|ref|NM_003750.2| ,NM_003750.2,5305,1366,18592
gi|50345985|ref|NM_001686.3| ,NM_001686.3,1857,1364,51669
gi|148746180|ref|NM_001098576.1| ,NM_001098576.1,3255,1362,21943
gi|197333810|ref|NM_014777.2| ,NM_014777.2,5613,1361,11414
gi|212549552|ref|NM_017620.2| ,NM_017620.2,6135,1360,11986
gi|66346694|ref|NM_001999.3| ,NM_001999.3,10724,1360,9898
gi|110347426|ref|NM_014709.3| ,NM_014709.3,11326,1357,10006
gi|33356176|ref|NM_002834.3| ,NM_002834.3,6300,1353,12822
gi|94557304|ref|NM_014763.3| ,NM_014763.3,7827,1352,11133
gi|148536860|ref|NM_006933.4| ,NM_006933.4,11579,1352,9864
gi|209413741|ref|NM_006275.5| ,NM_006275.5,3755,1352,16350
gi|212276111|ref|NM_014060.2| ,NM_014060.2,9805,1349,16761
gi|381342475|ref|NM_001257293.1| ,NM_001257293.1,2304,1349,37538
gi|400153762|ref|NM_017645.4| ,NM_017645.4,6365,1347,11325
gi|357430780|ref|NM_003101.5| ,NM_003101.5,6938,1345,11935
gi|47458828|ref|NM_004341.3| ,NM_004341.3,7108,1342,10603
gi|116734707|ref|NM_001106.3| ,NM_001106.3,11373,1341,8662
gi|77404356|ref|NM_001412.3| ,NM_001412.3,4431,1334,17512
gi|51093847|ref|NM_001469.3| ,NM_001469.3,2156,1333,33205
gi|296080776|ref|NM_017672.4| ,NM_017672.4,10404,1327,10805
gi|170650686|ref|NM_006502.2| ,NM_006502.2,8412,1327,9893
gi|221136818|ref|NM_018362.3| ,NM_018362.3,4866,1322,13739
gi|296080701|ref|NM_004134.6| ,NM_004134.6,3506,1322,18254
gi|224994261|ref|NR_027350.1| ,NR_027350.1,5018,1320,11311
gi|194018521|ref|NM_001130007.1| ,NM_001130007.1,7190,1319,11134
gi|311893284|ref|NM_006047.5| ,NM_006047.5,6724,1317,12170
gi|338968846|ref|NM_201274.3| ,NM_201274.3,11023,1317,9779
gi|71164895|ref|NM_139281.2| ,NM_139281.2,6611,1314,11065
gi|296531373|ref|NM_032875.2| ,NM_032875.2,10381,1313,10112
gi|503774351|ref|NM_001278209.1| ,NM_001278209.1,6030,1311,12971
gi|38605734|ref|NM_018243.2| ,NM_018243.2,5582,1310,12016
gi|209869992|ref|NM_001136005.1| ,NM_001136005.1,3552,1310,20017
gi|98985830|ref|NM_014423.3| ,NM_014423.3,9580,1309,10554
gi|325651900|ref|NM_032828.3| ,NM_032828.3,6946,1306,10456
gi|209969818|ref|NM_173566.2| ,NM_173566.2,10844,1304,9942
gi|296040488|ref|NM_016320.4| ,NM_016320.4,6980,1303,10752
gi|307611973|ref|NM_174911.4| ,NM_174911.4,5503,1302,12646
gi|311771666|ref|NM_001198783.1| ,NM_001198783.1,14038,1299,9280
gi|183603937|ref|NM_000291.3| ,NM_000291.3,2439,1295,29298
gi|299523022|ref|NR_033805.1| ,NR_033805.1,5376,1293,29485
gi|224028243|ref|NM_001145408.1| ,NM_001145408.1,3228,1292,25406
gi|294862265|ref|NM_005401.4| ,NM_005401.4,13443,1292,9305
gi|51093831|ref|NM_015635.2| ,NM_015635.2,6906,1290,11426
gi|44662824|ref|NM_014730.2| ,NM_014730.2,6367,1288,10366
gi|499591025|ref|NM_012090.5| ,NM_012090.5,17701,1287,8976
gi|260064012|ref|NM_001165931.1| ,NM_001165931.1,3452,1286,15947
gi|298493307|ref|NM_001171508.2| ,NM_001171508.2,4334,1286,16344
gi|62198236|ref|NM_006231.2| ,NM_006231.2,7859,1282,10009
gi|306966130|ref|NM_001130438.2| ,NM_001130438.2,7907,1281,10283
gi|56549647|ref|NM_057175.3| ,NM_057175.3,5554,1281,11041
gi|304361758|ref|NM_080391.3| ,NM_080391.3,3939,1281,15145
gi|11968022|ref|NM_022473.1| ,NM_022473.1,10487,1280,9605
gi|50345994|ref|NM_003972.2| ,NM_003972.2,7054,1279,9722
gi|328447199|ref|NM_002296.3| ,NM_002296.3,3837,1279,13806
gi|189458834|ref|NM_003659.3| ,NM_003659.3,7674,1276,10336
gi|198386337|ref|NM_014873.2| ,NM_014873.2,7802,1276,10288
gi|306482654|ref|NM_000937.4| ,NM_000937.4,6738,1276,11034
gi|82546823|ref|NM_001037165.1| ,NM_001037165.1,11191,1275,9136
gi|148612878|ref|NM_024947.3| ,NM_024947.3,12687,1275,10136
gi|261399876|ref|NM_001166285.1| ,NM_001166285.1,2044,1275,34982
gi|324021721|ref|NM_152437.2| ,NM_152437.2,4341,1267,13012
gi|219555675|ref|NM_018976.4| ,NM_018976.4,4961,1265,11516
gi|148536854|ref|NM_001098398.1| ,NM_001098398.1,5666,1265,13213
gi|299522982|ref|NM_022111.3| ,NM_022111.3,8484,1264,10784
gi|296080759|ref|NM_002572.3| ,NM_002572.3,4200,1264,12903
gi|387598067|ref|NM_001261445.1| ,NM_001261445.1,4291,1263,15766
gi|296434314|ref|NM_001032283.2| ,NM_001032283.2,4186,1260,17380
gi|10863902|ref|NM_004238.1| ,NM_004238.1,6428,1260,10953
gi|39725959|ref|NM_175852.3| ,NM_175852.3,4843,1258,10794
gi|71040112|ref|NR_002323.1| ,NR_002323.1,7115,1257,10234
gi|148886660|ref|NM_022459.4| ,NM_022459.4,9902,1257,9461
gi|223029409|ref|NM_006289.3| ,NM_006289.3,8434,1256,9792
gi|26051234|ref|NM_018230.2| ,NM_018230.2,4170,1255,12850
gi|75709178|ref|NM_002745.4| ,NM_002745.4,5916,1254,11522
gi|215272315|ref|NM_005570.3| ,NM_005570.3,4848,1253,11889
gi|58331232|ref|NM_012073.3| ,NM_012073.3,3403,1251,35064
gi|120587022|ref|NM_014503.2| ,NM_014503.2,9029,1251,9790
gi|62865859|ref|NM_032458.2| ,NM_032458.2,4772,1247,12964
gi|254039597|ref|NM_018390.3| ,NM_018390.3,5320,1247,14721
gi|328927063|ref|NM_001085487.2| ,NM_001085487.2,7768,1246,10319
gi|372626411|ref|NM_004730.3| ,NM_004730.3,3748,1246,13934
gi|304434816|ref|NM_005998.4| ,NM_005998.4,2107,1241,41726
gi|168480144|ref|NM_001101.3| ,NM_001101.3,1852,1241,48195
gi|306482644|ref|NM_003016.4| ,NM_003016.4,3003,1240,21080
gi|334688826|ref|NM_002524.4| ,NM_002524.4,4454,1240,11142
gi|145580624|ref|NM_001013620.3| ,NM_001013620.3,10091,1239,13925
gi|392494078|ref|NM_001918.3| ,NM_001918.3,10831,1238,9868
gi|215983056|ref|NM_032228.5| ,NM_032228.5,5292,1237,11199
gi|332164774|ref|NM_001206796.1| ,NM_001206796.1,2853,1235,29415
gi|319996654|ref|NM_001201483.1| ,NM_001201483.1,2567,1234,49311
gi|209969683|ref|NM_001759.3| ,NM_001759.3,6531,1233,11525
gi|145309325|ref|NM_002293.3| ,NM_002293.3,7889,1233,10697
gi|126723563|ref|NM_014982.2| ,NM_014982.2,12936,1232,9178
gi|33469915|ref|NM_003906.3| ,NM_003906.3,6113,1232,10166
gi|335057561|ref|NM_033656.3| ,NM_033656.3,17906,1232,8716
gi|194239695|ref|NM_003017.4| ,NM_003017.4,3144,1231,25344
gi|56676313|ref|NM_002568.3| ,NM_002568.3,2869,1231,24973
gi|110618243|ref|NM_001042603.1| ,NM_001042603.1,10835,1230,8865
gi|317108146|ref|NM_007235.4| ,NM_007235.4,3961,1229,13524
gi|147904339|ref|NM_025222.3| ,NM_025222.3,4292,1228,12089
gi|256017162|ref|NM_001164273.1| ,NM_001164273.1,12042,1226,8681
gi|314122178|ref|NM_001199672.1| ,NM_001199672.1,6181,1225,14782
gi|342672020|ref|NM_138714.3| ,NM_138714.3,13369,1225,8347
gi|194248058|ref|NM_018136.4| ,NM_018136.4,10906,1225,9125
gi|166091478|ref|NM_024665.4| ,NM_024665.4,6550,1224,9512
gi|290560667|ref|NM_001033503.2| ,NM_001033503.2,6651,1223,11326
gi|260099722|ref|NM_001165414.1| ,NM_001165414.1,2323,1222,40058
gi|148277036|ref|NM_014911.3| ,NM_014911.3,21283,1220,13016
gi|42766427|ref|NM_019008.4| ,NM_019008.4,5730,1219,9907
gi|296011005|ref|NM_007055.3| ,NM_007055.3,6652,1217,9396
gi|98986456|ref|NM_005334.2| ,NM_005334.2,8436,1216,9257
gi|58331169|ref|NM_001762.3| ,NM_001762.3,2682,1216,25205
gi|71773009|ref|NM_001030007.1| ,NM_001030007.1,6850,1215,9983
gi|267844827|ref|NM_001167741.1| ,NM_001167741.1,7882,1214,10072
